,close_0,high_0,low_0,open_0,volume_0
2018-11-10 08:00:00+00:00,7156.37,7156.37,7156.37,7156.37,42.68554616976945
2018-11-10 09:00:00+00:00,7194.743062616959,7246.162951839198,7103.964976353773,7156.37,9149.563326374533
2018-11-10 10:00:00+00:00,7180.213335095884,7194.743062616959,7165.7869796668965,7194.743062616959,1217.6831269479183
2018-11-10 11:00:00+00:00,7167.687100182639,7197.951003848719,7147.726668397376,7180.213335095884,2088.728030836996
2018-11-10 12:00:00+00:00,7142.347600651501,7184.042948082389,7130.619430739437,7167.687100182639,1967.6593614969934
2018-11-10 13:00:00+00:00,7162.708013841757,7206.83262305935,7117.471290721944,7142.347600651501,2932.1800380771265
2018-11-10 14:00:00+00:00,7108.546163992343,7243.106648790192,7073.80488483464,7162.708013841757,4575.664484084748
2018-11-10 15:00:00+00:00,7149.500643261814,7195.64236195739,7093.947182789292,7108.546163992343,4256.402543883728
2018-11-10 16:00:00+00:00,7131.548923851978,7149.500643261814,7110.948531346464,7149.500643261814,1157.078843490044
2018-11-10 17:00:00+00:00,7139.012386379637,7146.227473442862,7131.548923851978,7131.548923851978,1101.3021197692285
2018-11-10 18:00:00+00:00,7133.109043587424,7141.72142434259,7086.805937181237,7139.012386379637,1823.673044987249
2018-11-10 19:00:00+00:00,7167.524098123227,7192.070060524798,7099.576548728691,7133.109043587424,3618.7371570861533
2018-11-10 20:00:00+00:00,7118.987095090299,7167.524098123227,7070.342942019666,7167.524098123227,3449.7054571638596
2018-11-10 21:00:00+00:00,7111.388159354646,7126.740283189023,7111.388159354646,7118.987095090299,439.1101751653429
2018-11-10 22:00:00+00:00,7102.354477726476,7111.388159354646,7102.354477726476,7111.388159354646,463.68624221977876
2018-11-10 23:00:00+00:00,7128.902990184188,7145.810948682882,7075.936511782101,7102.354477726476,3157.8286654586955
2018-11-11 00:00:00+00:00,7103.070345175275,7178.414843838775,7103.070345175275,7128.902990184188,3264.024374987816
2018-11-11 01:00:00+00:00,7098.99659129704,7118.412372289741,7066.84913696935,7103.070345175275,2764.1020541883754
2018-11-11 02:00:00+00:00,7078.44994450332,7121.240848700294,7060.069700139884,7098.99659129704,2089.5534643676665
2018-11-11 03:00:00+00:00,7079.396319241795,7088.769736111474,7073.882709046496,7078.44994450332,1308.147612048872
2018-11-11 04:00:00+00:00,7092.968441759167,7097.59610662979,7059.488999205033,7079.396319241795,1430.8811274181664
2018-11-11 05:00:00+00:00,7154.463388001833,7237.9014208362005,7039.535426820373,7092.968441759167,4565.867386776879
2018-11-11 06:00:00+00:00,7251.360150649314,7342.862954866894,7076.47947765051,7154.463388001833,4012.543786222323
2018-11-11 07:00:00+00:00,7272.898526390833,7291.776863359284,7225.9475740380685,7251.360150649314,703.7666931991271
2018-11-11 08:00:00+00:00,7284.913006936817,7284.913006936817,7261.09560695108,7272.898526390833,652.7616886547089
2018-11-11 09:00:00+00:00,7306.533350281848,7322.154375080497,7241.445508631585,7284.913006936817,2456.1844451264406
2018-11-11 10:00:00+00:00,7290.048538726658,7315.691654716333,7285.632198428457,7306.533350281848,1107.1935494428049
2018-11-11 11:00:00+00:00,7287.05711732045,7290.048538726658,7268.948982461153,7290.048538726658,483.42767381052937
2018-11-11 12:00:00+00:00,7264.579578386575,7295.747070877221,7231.039551789245,7287.05711732045,1960.1814299638575
2018-11-11 13:00:00+00:00,7258.129447626085,7266.902184327184,7251.999693427428,7264.579578386575,464.0107005917899
2018-11-11 14:00:00+00:00,7299.561613841161,7341.862489481143,7214.252294330734,7258.129447626085,2286.7594647407755
2018-11-11 15:00:00+00:00,7282.902127747195,7336.791591384039,7279.471957212655,7299.561613841161,1072.1766297321294
2018-11-11 16:00:00+00:00,7273.346163958711,7282.902127747195,7271.920054028095,7282.902127747195,208.5255284710249
2018-11-11 17:00:00+00:00,7256.853842300127,7278.22070471671,7243.307598664092,7273.346163958711,750.4045128904953
2018-11-11 18:00:00+00:00,7236.629003785776,7278.52458545858,7233.861329009644,7256.853842300127,828.8239754707163
2018-11-11 19:00:00+00:00,7220.598920159304,7278.137162723737,7192.0594335354035,7236.629003785776,2461.6427668111924
2018-11-11 20:00:00+00:00,7220.2583475459915,7220.598920159304,7220.2583475459915,7220.598920159304,80.69111311488477
2018-11-11 21:00:00+00:00,7193.68168823637,7257.556995336718,7156.241101344345,7220.2583475459915,2879.298759241868
2018-11-11 22:00:00+00:00,7209.354952673511,7222.201292953204,7181.868114611209,7193.68168823637,1855.761739969826
2018-11-11 23:00:00+00:00,7248.859115152581,7288.975017073183,7177.619832028857,7209.354952673511,1945.1595180677841
2018-11-12 00:00:00+00:00,7266.568285488325,7289.054770503601,7248.859115152581,7248.859115152581,1778.9729845178722
